gid,latitude,longitude,elevation,timezone,config,geometry,index_right
11441,27.15,70.45,0.0,5.5,default,POINT (70.45 27.15),161
11764,26.45,70.55,0.0,5.5,default,POINT (70.55 26.45),161
11765,26.55,70.55,0.0,5.5,default,POINT (70.55 26.55),161
11766,26.65,70.55,0.0,5.5,default,POINT (70.55 26.65),161
11767,26.75,70.55,0.0,5.5,default,POINT (70.55 26.75),161
11768,26.85,70.55,0.0,5.5,default,POINT (70.55 26.85),161
11769,26.95,70.55,0.0,5.5,default,POINT (70.55 26.95),161
11770,27.05,70.55,0.0,5.5,default,POINT (70.55 27.05),161
11771,27.15,70.55,0.0,5.5,default,POINT (70.55 27.15),161
12094,26.45,70.65,0.0,5.5,default,POINT (70.65000000000001 26.45),161
12095,26.55,70.65,0.0,5.5,default,POINT (70.65000000000001 26.55),161
12096,26.65,70.65,0.0,5.5,default,POINT (70.65000000000001 26.65),161
12097,26.75,70.65,0.0,5.5,default,POINT (70.65000000000001 26.75),161
12098,26.85,70.65,0.0,5.5,default,POINT (70.65000000000001 26.85),161
12099,26.95,70.65,0.0,5.5,default,POINT (70.65000000000001 26.95),161
12100,27.05,70.65,0.0,5.5,default,POINT (70.65000000000001 27.05),161
12101,27.15,70.65,0.0,5.5,default,POINT (70.65000000000001 27.15),161
12102,27.25,70.65,0.0,5.5,default,POINT (70.65000000000001 27.25),161
12424,26.45,70.75,0.0,5.5,default,POINT (70.75 26.45),161
12425,26.55,70.75,0.0,5.5,default,POINT (70.75 26.55),161
12426,26.65,70.75,0.0,5.5,default,POINT (70.75 26.65),161
12427,26.75,70.75,0.0,5.5,default,POINT (70.75 26.75),161
12428,26.85,70.75,0.0,5.5,default,POINT (70.75 26.85),161
12429,26.95,70.75,0.0,5.5,default,POINT (70.75 26.95),161
12430,27.05,70.75,0.0,5.5,default,POINT (70.75 27.05),161
12431,27.15,70.75,0.0,5.5,default,POINT (70.75 27.15),161
12432,27.25,70.75,0.0,5.5,default,POINT (70.75 27.25),161
12754,26.45,70.85,0.0,5.5,default,POINT (70.84999999999999 26.45),161
